Indochine||0.8||0.5||0.03773585||0.12652
Pho Vi Hoa||0.8||0.25||0.03773585||0.18916
Big Bites||0.82||0.5||0.03773585||0.2709
Xanh||0.82||0.5||0.03773585||0.2458
Phở Vy | Vietnamese Restaurant||0.86||0.25||0.03773585||0.42488
Pho Lovers||0.8800000000000001||0.25||0.03773585||0.37164
Rice and Spoon Vietnamese Cuisine||0.9||0.25||0.03773585||0.39568
Pho Nam||0.8800000000000001||0.25||0.03773585||0.38468
Pho Element||0.8800000000000001||0.25||0.03773585||0.57558
Cherimoya Vietnamese Cafe||0.9||0.25||0.03773585||0.65732
Wilbur Dining||0.8||0.5||0.03773585||0.05312
Cam Hung Sandwich and Coffee||0.9||0.25||0.03773585||0.57294
Pho #1||0.8400000000000001||0.25||0.03773585||0.52776
Phở Queen Noodle House||0.82||0.25||0.03773585||0.43622
Hong Kong Bistro||0.78||0.25||0.08679245||0.2953
Lock Chun Restaurant||0.9||0.5||0.08679245||0.5515599999999999
Rickshaw Corner||0.86||0.25||0.08679245||0.6559
Dumpling Empire||0.86||0.25||0.08679245||0.8734000000000001
New Sam Kee Restaurant||0.78||0.5||0.08679245||0.93274
Asian Pearl Seafood Restaurant||0.8||0.5||0.08679245||0.79192
King Noodle||0.76||0.25||0.08679245||0.60478
Wok's On Express||0.76||0.25||0.08679245||0.41473999999999994
H.K.R. Andy's Restaurant||0.76||0.25||0.08679245||0.8984399999999999
King Eggroll||0.8||0.25||0.08679245||0.70462
Chinese Gourmet Express||0.72||0.25||0.08679245||0.89768
Boiling Point||0.82||0.5||0.08679245||0.7065
Wahlburgers||0.82||0.5||0.08679245||0.061900000000000004
Hong Kong Restaurant||0.82||0.25||0.09056604||0.15144
Tai Pan||0.8400000000000001||0.5||0.09056604||0.07094
Yum Cha Palace||0.8400000000000001||0.5||0.09056604||0.12438
Hong Kong Bistro||0.78||0.25||0.09056604||0.2953
Cooking Papa||0.76||0.5||0.09056604||0.22254000000000002
Kirin||0.78||0.5||0.09056604||0.2652
Joy Luck Palace||0.7||0.5||0.09056604||0.49426000000000003
Lei Garden||0.82||0.5||0.09056604||0.47601999999999994
King Wah||0.82||0.25||0.09056604||0.40062
Top Cafe||0.8||0.25||0.09056604||0.524
Won Kee BBQ Restaurant||0.72||0.5||0.09056604||0.55566
Golden Palace Restaurant||0.78||0.5||0.09056604||0.50222
Champagne Seafood Restaurant||0.76||0.5||0.09056604||0.607
Fortunes Restaurant Milpitas||0.8||0.5||0.09056604||0.62262
Koi Palace - Milpitas||0.8400000000000001||0.5||0.09056604||0.56096
China Village Seafood Restaurant||0.8400000000000001||0.5||0.09056604||0.47798
A Plus HK Style Cafe||0.82||0.25||0.09056604||0.71262
Jade Cathay Chinese Restaurant||0.8||0.5||0.09056604||0.5996
Diner Japonica||0.9400000000000001||0.25||0.09433962||0.18538
Kanpai||0.86||0.5||0.09433962||0.0718
Koma Sushi Restaurant||0.8800000000000001||0.5||0.09433962||0.10714
Mitsunobu||0.8||0.5||0.09433962||0.06348
Nobu | Palo Alto||0.82||1.0||0.09433962||0.06434000000000001
Sushi Tomo||0.82||0.25||0.09433962||0.16838
Sushi+Plus||0.9||0.5||0.09433962||0.16213999999999998
Kyosho||0.9199999999999999||0.5||0.09433962||0.12256
Sumo Sushi Boat||0.8800000000000001||0.5||0.09433962||0.1855
Dashi Japanese Restaurant||0.8800000000000001||0.5||0.09433962||0.16047999999999998
Cardinal Sushi||0.9||0.5||0.09433962||0.09956
Sushirrito - Palo Alto||0.8800000000000001||0.5||0.09433962||0.07067999999999999
Akane Japanese Restaurant||0.86||0.75||0.09433962||0.19391999999999998
Dohatsuten||0.8400000000000001||0.25||0.09433962||0.2084
Guru Katsu||0.8||0.5||0.09433962||0.23257999999999998
Gochi Japanese Fusion Tapas||0.9||0.5||0.09433962||0.22469999999999998
Naomi Sushi||0.82||0.5||0.09433962||0.10776
Hanabi Sushi||0.8400000000000001||0.5||0.09433962||0.22713999999999998
Mizu||0.86||0.5||0.09433962||0.19463999999999998
Ranzan||0.9400000000000001||1.0||0.09433962||0.20604
So Gong Dong Tofu House||0.86||0.5||0.09811321||0.17312000000000002
Steam||0.82||0.5||0.09811321||0.06274
Bibimbowl||0.86||0.25||0.09811321||0.385
Kaya BBQ & Tofu||0.8||0.5||0.09811321||0.47046
Spice Kit||0.76||0.25||0.09811321||0.10651999999999999
P.F. Chang's||0.74||0.5||0.09811321||0.05526
To Bang||0.8800000000000001||0.5||0.09811321||0.61724
Soo Ja Fusion Bistro||0.8400000000000001||0.5||0.09811321||0.57182
Jang Mo Jip||0.8400000000000001||0.5||0.09811321||0.6179
Kunjip||0.8800000000000001||0.5||0.09811321||0.61478
Kong Tofu and BBQ Korean Cuisine||0.86||0.5||0.09811321||0.51152
